held_out,roc_auc,pr_auc,brier,n_test
EURO2020,0.7757548059912726,0.37575709021258175,0.18774858440356723,1234
EURO2024,0.746058091286307,0.23036992729017597,0.1732687992949071,1303
WC2022,0.7942752338952316,0.36871092291147084,0.19203448785736488,1429
