model,macro_nekalib,macro_kalib,pooled_nekalib,pooled_kalib
Model A,0.7721282434277997,0.7688049906830438,0.776717260516464,0.7738631334696857
Model B,0.7926179603950824,0.7904479728876982,0.79714772530083,0.7944449680171851
