roc_auc,pr_auc,precision,recall,f1,brier_score,tn,fp,fn,tp,n,fold
0.8291330551692164,0.4015777872771742,0.26666666666666666,0.7466666666666667,0.3929824561403509,0.16629380665337679,565,154,19,56,794,1
0.7978799383528175,0.3933097240561285,0.24401913875598086,0.6891891891891891,0.36042402826855124,0.17138756215200507,561,158,23,51,793,2
0.8012630154493854,0.37545096809274753,0.24774774774774774,0.7432432432432432,0.3716216216216216,0.18123586223213878,552,167,19,55,793,3
0.7523399616584595,0.29280413195223315,0.21212121212121213,0.5675675675675675,0.3088235294117647,0.1727862850182685,563,156,32,42,793,4
0.7885422469823584,0.3466698194588422,0.23430962343096234,0.7466666666666667,0.35668789808917195,0.18325059701461768,535,183,19,56,793,5
