roc_auc,pr_auc,precision,recall,f1,brier_score,tn,fp,fn,tp,n,held_out_tournament
0.7908066989031726,0.38942419756661223,0.26384364820846906,0.6639344262295082,0.3776223776223776,0.15132565796375275,886,226,41,81,1234,EURO2020
0.7446608518926243,0.2678389440164999,0.20454545454545456,0.5510204081632653,0.2983425414364641,0.13996341824531555,995,210,44,54,1303,EURO2024
0.8031313110497464,0.3835683318017491,0.2706766917293233,0.7105263157894737,0.39201451905626133,0.1542833149433136,986,291,44,108,1429,WC2022
