,roc_auc,pr_auc,precision,recall,f1,brier_score,tn,fp,fn,tp,n
model_a_logreg,0.7719434123066189,0.3145070782643089,0.2131844123662716,0.6727166276346604,0.32362622956088255,0.1850241952334525,892.6666666666666,306.0,39.0,85.0,1322.6666666666667
model_a_xgboost,0.7506291901591583,0.29728337541752,0.20483631232008237,0.643353113462814,0.310276264674873,0.17799203594525656,891.0,307.6666666666667,43.666666666666664,80.33333333333333,1322.6666666666667
model_b_logreg,0.7920760557940775,0.32996419663863047,0.23333687210999907,0.6810432110721769,0.3474243446553573,0.17340861456243503,922.3333333333334,275.6666666666667,38.0,86.0,1322.0
model_b_xgboost,0.7795329539485145,0.34694382446162036,0.24635526482774897,0.641827050060749,0.3559931460383677,0.1485241303841273,955.6666666666666,242.33333333333334,43.0,81.0,1322.0
