fold,roc_auc,pr_auc,brier
1,0.7515698587127159,0.29281131162611296,0.187578157653836
2,0.8019750519750519,0.37589511023296046,0.1863697324223186
3,0.7479079497907951,0.28410499410508466,0.18053990963109895
4,0.7683704218822438,0.3324888102467393,0.19072683591196335
5,0.7995040673612103,0.3975036572471952,0.18057300776214452
