roc_auc,pr_auc,precision,recall,f1,brier_score,tn,fp,fn,tp,n,fold
0.7896959459459458,0.3810832124760561,0.2139917695473251,0.7027027027027027,0.3280757097791798,0.17610827088356018,529,191,22,52,794,1
0.7548539638386649,0.3223821779217816,0.1976284584980237,0.6666666666666666,0.3048780487804878,0.1796790063381195,516,203,25,50,794,2
0.7727121001390822,0.2845681862384761,0.21810699588477367,0.7066666666666667,0.3333333333333333,0.1873786747455597,529,190,22,53,794,3
0.7116584595722287,0.30920758681537736,0.18548387096774194,0.6216216216216216,0.2857142857142857,0.1935833841562271,517,202,28,46,793,4
0.7572454234484831,0.29170900072364453,0.20588235294117646,0.6621621621621622,0.3141025641025641,0.18087393045425415,530,189,25,49,793,5
