fold,roc_auc,pr_auc,brier
1,0.7741722563151135,0.33216064299398246,0.1815152316033741
2,0.823015323015323,0.3741148821879815,0.17819896925468692
3,0.780954594762126,0.2962530217809828,0.16908628789791214
4,0.7948539638386647,0.3949820544100578,0.17811525560147362
5,0.8096011131725417,0.4086945058064099,0.16646074371595357
