held_out,roc_auc,pr_auc,brier,n_test
EURO2020,0.8002786295553721,0.4054370107523432,0.17696375778010057,1234
EURO2024,0.7610466593276314,0.24378271170812948,0.16334512683658428,1303
WC2022,0.8166086221819231,0.38652134830288487,0.18126237645112084,1429
