,roc_auc,pr_auc,precision,recall,f1,brier_score,tn,fp,fn,tp,n,fold
model_a_logreg,0.7731187460060897,0.3389649737537966,0.21572510014138194,0.6665225225225225,0.3259063678269621,0.18478816967061282,538.8,180.4,24.8,49.6,793.6,3.0
model_a_xgboost,0.757233178588881,0.3177900328350671,0.20421868956780814,0.671963963963964,0.31322078834197015,0.18352465331554413,524.2,195.0,24.4,50.0,793.6,3.0
model_b_logreg,0.7938316435224475,0.36196248616742516,0.24097287774451398,0.6986666666666667,0.3581079067062921,0.17499082261408136,555.2,163.6,22.4,52.0,793.2,3.0
model_b_xgboost,0.7827777721817804,0.3500683485599052,0.24041498424228963,0.680036036036036,0.3545368583597073,0.15941472947597504,559.0,159.8,23.8,50.6,793.2,3.0
