match_id,tournament,event_id,minute,period,team,team_id,player,x,y,distance_to_goal,shot_angle_deg,body_part,technique,play_pattern,shot_type,under_pressure,first_time,statsbomb_xg,game_state,is_goal,n_defenders_in_cone,n_teammates_in_cone,n_opponents_close,goalkeeper_distance,goalkeeper_angle_offset,open_goal_angle_ratio,nearest_defender_to_shot_line,pressure_score,has_360
3869685,WC2022,d9b92dbd-4fea-4f48-b2fb-d7222eab2dbd,117,4,France,771,Kylian Mbappé Lottin,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869685,WC2022,d0f76056-0d67-4aae-b44a-83bef0b1cf27,120,5,France,771,Kylian Mbappé Lottin,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869685,WC2022,2a15edb5-2a54-41d5-afe9-87e447389b18,121,5,Argentina,779,Lionel Andrés Messi Cuccittini,108.1,40.1,11.900420160649796,37.15634507564839,Left Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869685,WC2022,97439112-dfb5-4bd5-9967-554095296096,121,5,France,771,Kingsley Coman,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,,,,,,,,,False
3869685,WC2022,50dcde1a-faa3-4eec-a0cd-3f09a7cf763a,122,5,Argentina,779,Paulo Bruno Exequiel Dybala,108.1,40.1,11.900420160649796,37.15634507564839,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869685,WC2022,54e27ba9-b9ae-44a3-ac8d-fc91e76a1b91,123,5,France,771,Aurélien Djani Tchouaméni,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,0.0,0.0,0.0,11.800423721205958,0.0040800241697809,1.0,,0.0,True
3869685,WC2022,bcc6d4ae-f71c-4566-bf2d-c12f910eb526,124,5,Argentina,779,Leandro Daniel Paredes,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869685,WC2022,59ebe83e-616a-4288-89fd-a0246b53d48f,125,5,France,771,Randal Kolo Muani,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869685,WC2022,66eaf262-999f-4953-a924-f1b596de4dbf,125,5,Argentina,779,Gonzalo Ariel Montiel,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3857267,WC2022,e800e0bb-7fe2-4b0b-a284-d79772a9e828,43,1,Senegal,787,Ismaïla Sarr,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3857264,WC2022,bbf37035-eac8-4277-8e3a-39c6acf669e1,38,1,Argentina,779,Lionel Andrés Messi Cuccittini,108.1,40.1,11.900420160649796,37.15634507564839,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,0,,,,,,,,,False
3869519,WC2022,09340406-31db-4236-8bf0-11900a1f269b,33,1,Argentina,779,Lionel Andrés Messi Cuccittini,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869354,WC2022,b740db70-9fad-40ed-8069-5e3d26521a44,53,2,England,768,Harry Kane,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869354,WC2022,7559464d-104b-4f53-b4f6-1f71e069fb0d,83,2,England,768,Harry Kane,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,0.0,0.0,0.0,11.600000000000009,0.4814658058383591,1.0,,0.0,True
3869420,WC2022,fa03f25f-dc8f-4856-a012-e9cf31849764,120,5,Croatia,785,Nikola Vlašić,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869420,WC2022,1a8b0d93-8f46-429b-8ea1-7b3f13022d9d,120,5,Brazil,781,Rodrygo Silva de Goes,107.9,40.0,12.099999999999994,36.5855519291301,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3869420,WC2022,4a430e36-8be9-4094-9013-735af6467c0e,121,5,Croatia,785,Lovro Majer,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869420,WC2022,500ba99c-981c-4a0e-bec4-344b2155097c,122,5,Brazil,781,Carlos Henrique Casimiro,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869420,WC2022,cddfb07e-935a-4003-8ff0-418c07b68f41,123,5,Croatia,785,Luka Modrić,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869420,WC2022,3c1331c5-42da-4d2b-b84a-b2491a65cced,123,5,Brazil,781,Pedro Guilherme Abreu dos Santos,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869420,WC2022,ae27b88d-c7af-4e24-aca8-86dc9d87604a,124,5,Croatia,785,Mislav Oršić,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869420,WC2022,6aedc217-7451-4396-8020-13fd92494c3b,125,5,Brazil,781,Marcos Aoás Corrêa,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,0.0,0.0,0.0,11.099999999999994,0.0,1.0,,0.0,True
3869220,WC2022,07875275-5ae1-4193-a471-8f88db7f9887,120,5,Morocco,788,Abdelhamid Sabiri,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869220,WC2022,f8d211fa-5374-4310-a982-8699c7335255,121,5,Spain,772,Pablo Sarabia García,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,0.0,0.0,0.0,11.503912377969506,1.4943335912665234,1.0,,0.0,True
3869220,WC2022,f6e7d4d9-0029-4c12-adb3-0a4805479609,121,5,Morocco,788,Hakim Ziyech,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869220,WC2022,243c4452-6d54-401b-a681-4449fd9da7c6,122,5,Spain,772,Carlos Soler Barragán,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3869220,WC2022,1ca8275a-6f22-45e8-802a-445717e96337,123,5,Morocco,788,Badr Banoun,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,0,,,,,,,,,False
3869220,WC2022,2dbf7685-1e38-42ea-9033-edf9f79d57f1,124,5,Spain,772,Sergio Busquets i Burgos,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3869220,WC2022,08590ee6-ef11-4025-8648-2a8496c30c1f,125,5,Morocco,788,Achraf Hakimi Mouh,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869219,WC2022,7e8a4838-4396-44cb-af8e-51df3abdd7b8,120,5,Japan,778,Takumi Minamino,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,,,,,,,,,False
3869219,WC2022,a082197d-6235-4da0-92fc-a1aa9379bc0d,120,5,Croatia,785,Nikola Vlašić,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3869219,WC2022,bccd6f5b-3d78-448c-bde8-793467426a12,121,5,Japan,778,Kaoru Mitoma,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3869219,WC2022,54be1e85-59c1-43cd-8da4-26db10dcd2b7,121,5,Croatia,785,Marcelo Brozović,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869219,WC2022,2e48e56e-491c-4194-865d-be0b40fafb69,122,5,Japan,778,Takuma Asano,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3869219,WC2022,f33dea9d-c828-4298-9983-d63a2db7557b,123,5,Croatia,785,Marko Livaja,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,0,0.0,0.0,0.0,11.50173899895142,0.5148820906665804,1.0,,0.0,True
3869219,WC2022,2cdf3402-4fcf-45ef-9d91-8474453e45ad,123,5,Japan,778,Maya Yoshida,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3869219,WC2022,d38acc97-e85e-43e6-9798-dac321842497,124,5,Croatia,785,Mario Pašalić,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869253,WC2022,ba9547df-81eb-4cc8-acc3-63ebec6f2c39,12,1,Brazil,781,Neymar da Silva Santos Junior,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3869152,WC2022,36c25c99-7fd8-41f4-9467-18c23d474d37,98,2,Poland,789,Robert Lewandowski,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3857270,WC2022,09a6971a-da8c-48d3-a477-04deeca2fa0b,92,2,Portugal,780,Bruno Miguel Borges Fernandes,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3857286,WC2022,01154885-90ea-4577-9c0d-9bf97721a323,15,1,Ecuador,3565,Enner Remberto Valencia Lastra,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3857300,WC2022,87e2e8be-e11d-43d6-b9fd-fab92bf1bfb1,9,1,Argentina,779,Lionel Andrés Messi Cuccittini,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3857293,WC2022,df394e83-9c10-4bf0-a601-ae219d001867,20,1,Ghana,4885,André Ayew Pelé,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,0,,,,,,,,,False
3857291,WC2022,9d452713-0955-4550-8b33-24a3f61a156a,30,1,Spain,772,Ferrán Torres García,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3788758,EURO2020,5e003ca8-3bc5-4ed7-b611-f53ead86ef50,56,2,North Macedonia,2358,Ezgjan Alioski,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3788758,EURO2020,7f391b06-e355-4c61-b58b-2d812d74c418,83,2,Ukraine,911,Ruslan Malinovskiy,108.3,40.1,11.700427342623009,37.74680538727466,Left Foot,Normal,Other,Penalty,False,False,0.7835,leading,0,,,,,,,,,False
3788773,EURO2020,7888d3d0-dd0d-4025-a156-03e3938ff63c,30,1,Portugal,780,Cristiano Ronaldo dos Santos Aveiro,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3788773,EURO2020,b79df704-f32a-46c9-be8b-de78c90eb9c3,46,1,France,771,Karim Benzema,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3788773,EURO2020,993fc577-76c0-4730-9c03-1417867b01de,59,2,Portugal,780,Cristiano Ronaldo dos Santos Aveiro,107.9,40.0,12.099999999999994,36.5855519291301,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3788761,EURO2020,0f1a45bf-d738-401c-8568-f268eae5e9ff,76,2,Sweden,790,Emil Peter Forsberg,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3788760,EURO2020,87afad9c-452f-4836-89f6-ff6a8d0b5e13,36,1,Czech Republic,912,Patrik Schick,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3795108,EURO2020,7c077dbb-93df-494d-bd6a-5da0cd36eb08,120,5,Spain,772,Sergio Busquets i Burgos,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,0.0,0.0,0.0,11.500434774390053,0.4982116126136491,1.0,,0.0,True
3795108,EURO2020,4f0a25f0-379f-4ed3-aa3f-c446bc80f469,121,5,Switzerland,773,Mario Gavranović,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,0.0,0.0,0.0,11.610770861575034,2.468117913828542,1.0,,0.0,True
3795108,EURO2020,677cfa0a-46db-46c2-9c96-95c88a7008d6,121,5,Spain,772,Daniel Olmo Carvajal,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,0.0,0.0,0.0,11.703845521878698,1.4688007143858104,1.0,,0.0,True
3795108,EURO2020,319bdf6f-8e17-496b-ba6b-02baab0ff768,122,5,Switzerland,773,Fabian Lukas Schär,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,0.0,0.0,0.0,11.100450441310924,0.5161642297648441,1.0,,0.0,True
3795108,EURO2020,36848519-a634-485e-a648-1a1f28464e51,123,5,Spain,772,Rodrigo Hernández Cascante,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,0.0,0.0,0.0,11.200446419674533,0.5115558665870482,1.0,,0.0,True
3795108,EURO2020,ce740b95-35dc-4b1d-8718-9a2e11e1e423,124,5,Switzerland,773,Manuel Obafemi Akanji,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,0.0,0.0,0.0,11.301769772916096,1.0139787227853168,1.0,,0.0,True
3795108,EURO2020,21180742-61d5-4b69-a403-0cf408123b82,125,5,Spain,772,Gerard Moreno Balaguero,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,0.0,0.0,0.0,11.400000000000006,0.0,1.0,,0.0,True
3795108,EURO2020,1e675f9f-88fb-48b9-bb82-69e594eb2b1e,125,5,Switzerland,773,Ruben Vargas,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,0.0,0.0,0.0,11.307077429645554,2.0273227005001893,1.0,,0.0,True
3795108,EURO2020,3d0c1818-783c-4388-9772-eb7792fe1eb7,127,5,Spain,772,Mikel Oyarzabal Ugarte,108.0,40.0,12.0,36.86989764584402,Left Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,0.0,0.0,0.0,11.216059914247964,3.0664855011259,1.0,,0.0,True
3795107,EURO2020,73ce0e30-e7e7-46a0-9c88-ee1371d6bb74,46,1,Belgium,782,Romelu Lukaku Menama,107.9,40.0,12.099999999999994,36.5855519291301,Left Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3795220,EURO2020,96ea39bc-8d53-4a09-91de-94b6395d179f,120,5,Italy,914,Manuel Locatelli,107.9,40.0,12.099999999999994,36.5855519291301,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,,,,,,,,,False
3795220,EURO2020,d53c6fc9-bb06-41d2-8701-9218744e0eee,120,5,Spain,772,Daniel Olmo Carvajal,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,0,0.0,0.0,0.0,11.400438588054415,0.5025816667210379,1.0,,0.0,True
3795220,EURO2020,6eeeba1c-0a42-42fd-962c-8f56c1adbd22,121,5,Italy,914,Andrea Belotti,107.9,39.8,12.101652779682611,36.577142886265584,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3795220,EURO2020,5141291a-ae8c-479f-96fe-829ecd11b278,122,5,Spain,772,Gerard Moreno Balaguero,107.9,39.9,12.100413216084808,36.58344935660296,Left Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3795220,EURO2020,7ecd3882-9fba-44c2-b1cd-c9690a7fa702,123,5,Italy,914,Leonardo Bonucci,108.1,40.1,11.900420160649796,37.15634507564839,Right Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3795220,EURO2020,c0cbd80a-c644-4c1c-bb70-46c5a0d5e13c,123,5,Spain,772,Thiago Alcântara do Nascimento,108.0,40.1,12.00041665943312,36.867749161537496,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
3795220,EURO2020,7470b0f5-d1a9-470b-8613-951572fe6fd8,124,5,Italy,914,Federico Bernardeschi,107.9,39.9,12.100413216084808,36.58344935660296,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3795220,EURO2020,5d6fa828-65c8-46f8-9842-3b8c5a0ca6ab,125,5,Spain,772,Álvaro Borja Morata Martín,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,0,,,,,,,,,False
3795220,EURO2020,365bba27-6691-4931-96e5-4b498b170ea3,126,5,Italy,914,Jorge Luiz Frello Filho,107.8,39.9,12.200409829181972,36.30335386505884,Right Foot,Normal,Other,Penalty,False,False,0.7835,leading,1,,,,,,,,,False
3795506,EURO2020,31f47d70-db4b-4304-99d6-3a28c1ba1edd,120,5,Italy,914,Domenico Berardi,107.8,39.8,12.201639234135715,36.29718134743356,Left Foot,Normal,Other,Penalty,False,False,0.7835,level,1,,,,,,,,,False
3795506,EURO2020,526593d2-c545-4433-aa71-f923a7dd7811,120,5,England,768,Harry Kane,108.0,40.0,12.0,36.86989764584402,Right Foot,Normal,Other,Penalty,False,False,0.7835,trailing,1,,,,,,,,,False
