match_id,tournament,team,player,is_goal,statsbomb_xg,minute,under_pressure,first_time,body_part_clean_Head,body_part_clean_Other,shot_type_clean_Set Piece,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,game_state_level,game_state_trailing,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,n_defenders_in_cone,n_teammates_in_cone,n_opponents_close,open_goal_angle_ratio,nearest_defender_to_shot_line,pressure_score,goalkeeper_anomaly,distance_to_goal_log,shot_angle_deg_log
3857271,WC2022,England,Raheem Sterling,1,0.1885282,45,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,0.0,3.0,1.0,33.26735070803727,0.8890225271186722,0.46410118984579807,2.3442544724806464,3.821391630017616
3857271,WC2022,Iran,Alireza Jahanbakhsh,0,0.11232807,55,0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,0.0,1.0,1.0,3.866961370883144,0.3010327858986589,-0.12569128209756997,2.8448376013043406,3.211821424307203
3857271,WC2022,England,Kieran Trippier,0,0.042866398,50,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.0,1.0,0.0,0.0,0.3244021528238649,0.3012330121358858,2.620735470886501,3.396287886204429,2.730762560130835
3857271,WC2022,England,Luke Shaw,0,0.021548782,58,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.0,1.0,1.0,0.2408068862545999,0.2712568459157873,0.3154373504457456,-0.7339866174607188,3.3197597220045716,2.726811928074581
3857271,WC2022,Iran,Saeid Ezatolahi Afagh,0,0.0065368367,60,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,2.0,1.0,0.0,0.8318774507843277,1.1223011081070997,0.3257834840027311,1.1264873950249736,3.623770740515624,2.5969490489530145
3857271,WC2022,England,Bukayo Saka,1,0.080026746,61,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3.0,1.0,3.0,0.3959294363992176,0.2232209358615343,0.91435325239765,-1.6640468904668424,2.8328087635371544,3.300478742621443
3857271,WC2022,Iran,Mehdi Taremi,1,0.065701395,64,1,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1.0,0.0,2.0,0.4090714992254074,0.3603781631609674,1.0152429521044342,-2.0629739171184696,2.6420425619563432,3.371965988543926
3857271,WC2022,Iran,Mehdi Torabi,0,0.045791544,69,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,4.0,1.0,3.0,0.0,0.0724946511996132,1.011803146974958,-0.3225294598927988,2.9553393480627204,3.1655191180952045
3857271,WC2022,Iran,Ahmad Nourollahi,0,0.028478073,69,0,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,4.0,1.0,1.0,0.4870004958405868,1.0666256307666488,0.4584514869122388,1.1411532025464695,3.169722436137284,3.0163073433205434
3857271,WC2022,England,Marcus Rashford,1,0.40810898,70,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0.0,2.0,1.0,2.665626636386804,0.6533795331839449,-3.5500305338379237,2.6290081158455525,3.397246738895812
3857271,WC2022,Iran,Mehdi Taremi,0,0.06202265,76,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.0,0.0,1.0,1.0,33.26735070803727,0.4652802632579209,-4.86568333910132,3.084691814973272,2.825788259312176
3857271,WC2022,England,Marcus Rashford,0,0.0776978,83,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3.0,1.0,3.0,0.3287310417139913,0.0153502771436242,1.1427995983572892,-1.276583454028076,2.811502709611462,3.125113624469428
3857271,WC2022,England,Jack Grealish,1,0.6262809,89,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0.0,1.0,0.7389296364818058,0.3512225618091205,0.3361831500645192,4.211584232351042,2.197294016657237,3.9912846057643274
3857271,WC2022,Iran,Sardar Azmoun,0,0.35130003,97,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.0,0.0,1.0,1.0,33.26735070803727,0.3382516777652017,-3.546510853052122,2.6500839620947736,3.2530271964632633
3857296,WC2022,Croatia,Ivan Perišić,0,0.03397081,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,2.0,0.0,1.0,1.0,1.3602060814235446,0.4735886154969287,0.22297200278007523,3.200925851339249,2.7242488881724682
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.05519996,9,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.0,1.0,3.0,2.220446049250313e-16,0.0931783935639398,1.7097774645009371,0.8179830600381344,3.0008760766351807,2.976823525537887
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.020840297,10,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.0,0.0,2.0,0.0661283132906848,0.0588816500329485,0.5743789256487569,-2.1249062277422777,2.5021672429168254,2.5913059636516325
3857296,WC2022,Belgium,Dries Mertens,0,0.1934709,12,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,1.0,1.0,14.33050439089849,0.5438967911503149,0.05029944379927542,2.833672685224208,3.304502873872402
3857296,WC2022,Belgium,Axel Witsel,0,0.025340356,24,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,4.0,1.0,1.0,0.1603582588724607,0.1847165035880216,0.4421632351935419,2.4075611391957317,3.359412713728821,2.840689786032092
3857296,WC2022,Croatia,Marcelo Brozović,0,0.054300383,32,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.0,0.0,2.0,0.348279023801792,0.088849225871905,1.45383308353867,1.3399759263099575,3.067314998111612,3.1276806277278877
3857296,WC2022,Croatia,Marko Livaja,0,0.104244776,32,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1.0,0.0,2.0,1.0,0.8265321910313922,1.60163876813742,1.5642831601114935,2.2182082663694773,3.945285583844418
