match_id,tournament,team,player,is_goal,statsbomb_xg,distance_to_goal,shot_angle_deg,minute,under_pressure,first_time,body_part_clean_Head,body_part_clean_Other,shot_type_clean_Set Piece,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,game_state_level,game_state_trailing,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley
3857296,WC2022,Croatia,Ivan Perišić,0,0.03397081,23.55525419094432,14.244958956433406,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.05519996,19.10314110297048,18.62537801782792,9,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.020840297,11.208925015361643,12.347191172580516,10,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Belgium,Dries Mertens,0,0.1934709,16.00781059358212,26.234998993306288,12,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Belgium,Axel Witsel,0,0.025340356,27.77228834647948,16.127575825959813,24,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
3857296,WC2022,Croatia,Marcelo Brozović,0,0.054300383,20.48414020651099,21.820987746144425,32,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Croatia,Marko Livaja,0,0.104244776,8.190848551890088,50.69109814692395,32,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Belgium,Dries Mertens,0,0.108029366,9.7082439194738,17.58512191234619,41,0,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
3857296,WC2022,Croatia,Borna Sosa,0,0.024362085,28.887713651308573,13.783964268719144,44,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
3857296,WC2022,Croatia,Ivan Perišić,0,0.08771692,11.672617529928752,37.418618519802166,48,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Croatia,Josip Juranović,0,0.041306578,20.44162420161373,18.59477046376077,48,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.026916144,22.39866067424568,17.46344445895996,47,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.1189759,6.315853069855248,39.935071482956886,48,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
3857296,WC2022,Croatia,Mateo Kovačić,0,0.07960723,19.386851214160583,19.69365550398119,49,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
