match_id,tournament,event_id,minute,period,team,team_id,player,x,y,distance_to_goal,shot_angle_deg,body_part,technique,play_pattern,shot_type,under_pressure,first_time,statsbomb_xg,game_state,is_goal,n_defenders_in_cone,n_teammates_in_cone,n_opponents_close,goalkeeper_distance,goalkeeper_angle_offset,open_goal_angle_ratio,nearest_defender_to_shot_line,pressure_score,has_360
3857276,WC2022,473df22f-d159-4416-a5ce-62838698ea12,2,1,Canada,1833,Mark Anthony Kaye,96.5,40.7,23.510423220350585,19.30345396766001,Left Foot,Normal,Regular Play,Open Play,True,True,0.038882375,level,0,4.0,1.0,2.0,22.05810508633958,2.4534639992656433,0.5778704284919256,1.173096704449236,1.3935538161637702,True
3857276,WC2022,13b63722-8099-4cdf-818a-d2df3036a633,3,1,Morocco,788,Hakim Ziyech,83.9,45.0,36.444615514503646,12.412157963091431,Left Foot,Lob,From Throw In,Open Play,False,True,0.024477394,level,1,1.0,0.0,0.0,13.418271125595869,17.724674797173133,0.605168030185173,0.20469416111774483,0.0,True
3857276,WC2022,19f400ea-038a-458b-a26a-2a6137a71583,8,1,Morocco,788,Abdelhamid Sabiri,86.8,38.4,33.23853185686757,13.708899258828248,Right Foot,Normal,From Free Kick,Free Kick,False,False,0.02207015,leading,0,5.0,1.0,0.0,32.33032632065442,2.3871870295397137,0.12458477528953626,0.22263317862130683,0.19207971506620844,True
3857276,WC2022,06924724-9654-4c47-a906-2e4c55b1155f,9,1,Morocco,788,Sofiane Boufal,107.0,48.3,15.423683088030561,25.112519365201308,Left Foot,Half Volley,From Corner,Open Play,False,False,0.06158555,leading,0,6.0,1.0,2.0,13.464768843169946,4.659394761159138,0.22535400665209937,0.26063813533096536,1.350339463158491,True
3857276,WC2022,ac8b083c-950f-4978-8497-8f60b4b4fe6d,14,1,Canada,1833,Tajon Buchanan,113.3,34.9,8.420213774008356,44.31353963693273,Right Foot,Half Volley,From Counter,Open Play,False,True,0.27914461,trailing,0,1.0,0.0,1.0,4.110960958218901,3.776639571093369,1.0,,0.24964365685976916,True
3857276,WC2022,5c5a5090-a0eb-47cf-bc78-fd124cb45f43,15,1,Morocco,788,Hakim Ziyech,97.5,54.0,26.5,14.697319279511905,Left Foot,Normal,From Goal Kick,Open Play,False,False,0.022624016,leading,0,3.0,2.0,3.0,23.89476930208785,3.3951531836007343,0.5390245435208653,0.4943396226415107,0.8381376637739882,True
3857276,WC2022,fa3e211a-da39-4edb-af18-f1c34dd09874,22,1,Morocco,788,Youssef En-Nesyri,107.6,53.2,18.110770276274838,17.637995562297338,Right Foot,Half Volley,From Throw In,Open Play,False,False,0.10405799,leading,1,1.0,0.0,2.0,13.364505228402589,1.4867611645319516,1.0,,0.9725681841888183,True
3857276,WC2022,c250176b-5f51-4bfc-8fb0-5ecb47352fe2,32,1,Morocco,788,Abdelhamid Sabiri,107.9,34.2,13.418271125595869,30.54332505335319,Right Foot,Normal,Regular Play,Open Play,False,True,0.09711841,leading,0,3.0,0.0,2.0,10.850345616615156,5.672218179000261,0.36838215857815504,0.12296666124539,1.0434177814066339,True
3857276,WC2022,650fa4d8-6a8d-4340-a0e2-1268ca085d4b,47,1,Morocco,788,Youssef En-Nesyri,106.8,46.7,14.803040228277437,27.468303307985796,Right Foot,Volley,From Free Kick,Open Play,False,True,0.094470315,leading,0,2.0,1.0,2.0,13.0384048104053,6.252334964231467,0.5981784235425013,0.12564986457626487,1.0730607738209028,True
3857276,WC2022,4d310ca7-0c38-46f7-8d2d-2b695968dd56,57,2,Canada,1833,Alphonso Davies,105.1,41.2,14.948244044034075,29.881515261612005,Left Foot,Volley,Regular Play,Open Play,False,True,0.051903803,trailing,0,1.0,0.0,2.0,12.803515142334948,5.947111183519273,0.36333498621253246,0.2976938285788874,0.7548554963293395,True
