match_id,tournament,team,player,is_goal,statsbomb_xg,minute,under_pressure,first_time,body_part_clean_Head,body_part_clean_Other,shot_type_clean_Set Piece,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,game_state_level,game_state_trailing,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,distance_to_goal_log,shot_angle_deg_log
3857296,WC2022,Croatia,Ivan Perišić,0,0.03397081,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,3.200925851339249,2.7242488881724682
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.05519996,9,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.0008760766351807,2.976823525537887
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.020840297,10,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.5021672429168254,2.5913059636516325
3857296,WC2022,Belgium,Dries Mertens,0,0.1934709,12,1,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.833672685224208,3.304502873872402
3857296,WC2022,Belgium,Axel Witsel,0,0.025340356,24,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.359412713728821,2.840689786032092
3857296,WC2022,Croatia,Marcelo Brozović,0,0.054300383,32,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.067314998111612,3.1276806277278877
3857296,WC2022,Croatia,Marko Livaja,0,0.104244776,32,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.2182082663694773,3.945285583844418
3857296,WC2022,Belgium,Dries Mertens,0,0.108029366,41,0,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,2.3710139045800056,2.9223613634450096
3857296,WC2022,Croatia,Borna Sosa,0,0.024362085,44,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.397447481276118,2.6935430980078214
3857296,WC2022,Croatia,Ivan Perišić,0,0.08771692,48,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.5394435657288374,3.6485421993748823
3857296,WC2022,Croatia,Josip Juranović,0,0.041306578,48,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,3.0653340890055674,2.9752627175621007
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.026916144,47,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,3.152678784582258,2.9157928020784127
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.1189759,48,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.9900436469282639,3.7119871890820937
3857296,WC2022,Croatia,Mateo Kovačić,0,0.07960723,49,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,3.0148901447141365,3.0298271558991847
3857296,WC2022,Croatia,Borna Sosa,0,0.024012579,49,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,3.2858934594179035,2.911909390245109
3857296,WC2022,Belgium,Kevin De Bruyne,0,0.048855886,50,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,3.0689709595332264,3.0758311240210117
3857296,WC2022,Croatia,Marcelo Brozović,0,0.10219261,53,1,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.022172843181564,3.178002840791765
3857296,WC2022,Croatia,Luka Modrić,0,0.071706615,53,1,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.0122516828101196,2.9364215065913326
3857296,WC2022,Belgium,Yannick Ferreira Carrasco,0,0.09935363,59,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,2.2077314334034113,3.9181621222152185
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.19960539,59,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,2.4515740498318834,3.6540722683024343
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.30245224,61,0,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,2.105656064857383,4.058269890289951
3857296,WC2022,Croatia,Luka Modrić,0,0.07160131,67,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,2.6628813422769335,3.535564322921291
3857296,WC2022,Belgium,Kevin De Bruyne,0,0.0061408128,68,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,3.133285677537804,2.188341248744375
3857296,WC2022,Belgium,Jan Vertonghen,0,0.07045005,77,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.217676622941594,3.917010364440387
3857296,WC2022,Belgium,Thomas Meunier,0,0.04308796,86,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2.8438674961222943,2.9001775955583615
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.4909717,86,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1.930045210823037,4.152034136070097
3857296,WC2022,Belgium,Romelu Lukaku Menama,0,0.5721495,89,0,0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,1.5577936012469946,4.568047850146101
3857274,WC2022,Netherlands,Cody Mathès Gakpo,1,0.059259485,5,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.1084347232505642,3.014246498033851
3857274,WC2022,Ecuador,Enner Remberto Valencia Lastra,0,0.062208217,10,0,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2.856540288066804,3.150423771162783
3857274,WC2022,Ecuador,Moisés Isaac Caicedo Corozo,0,0.030668529,23,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.269087782209148,2.9401790228953755
3857274,WC2022,Ecuador,Michael Steveen Estrada Martínez,0,0.069653474,26,0,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,2.357946144751098,3.7112792047854337
3857274,WC2022,Ecuador,Enner Remberto Valencia Lastra,0,0.029882463,31,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,3.2759297626063484,2.6935650679770493
3857274,WC2022,Ecuador,Enner Remberto Valencia Lastra,0,0.024015462,46,1,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2.609164412546323,3.3954141379774376
3857274,WC2022,Ecuador,Angelo Smit Preciado Quiñónez,0,0.022953799,47,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3.2158330595685576,2.8086052176012894
3857274,WC2022,Ecuador,Pervis Josué Estupiñán Tenorio,0,0.18923391,47,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2.301528359566663,3.8207781683818984
3857274,WC2022,Ecuador,Pervis Josué Estupiñán Tenorio,0,0.08083876,48,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,2.952169631665777,3.041110414305051
3857274,WC2022,Ecuador,Enner Remberto Valencia Lastra,1,0.790909,48,0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.6916293189409868,4.43750311848192
3857274,WC2022,Ecuador,Enner Remberto Valencia Lastra,0,0.09564507,58,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.9534916610514337,3.243328645200355
3857274,WC2022,Ecuador,Gonzalo Jordy Plata Jiménez,0,0.046335444,58,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.054421325787644,2.9367676683422688
3857274,WC2022,Ecuador,Michael Steveen Estrada Martínez,0,0.13418972,63,1,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,2.774688327135138,3.4203101734534465
3857274,WC2022,Netherlands,Teun Koopmeiners,0,0.04520454,65,0,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.1993760430029083,3.0102662604912163
3857274,WC2022,Ecuador,Moisés Isaac Caicedo Corozo,0,0.03323832,72,1,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,3.0380511283397786,3.022591275900849
3857274,WC2022,Ecuador,Angelo Smit Preciado Quiñónez,0,0.007451811,80,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,3.4501176353168623,2.5796639194166477
3857274,WC2022,Ecuador,Angelo Smit Preciado Quiñónez,0,0.033830326,91,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.099039395646998,3.1055906222716114
3857255,WC2022,Spain,Sergio Busquets i Burgos,0,0.03268242,6,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.2106487784031157,2.9699451648434456
3857255,WC2022,Japan,Junya Ito,0,0.04214545,7,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,2.7583177941419006,2.663819619117956
3857255,WC2022,Spain,Álvaro Borja Morata Martín,0,0.06376064,8,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.4863061154592283,3.650184693716642
3857255,WC2022,Spain,Álvaro Borja Morata Martín,1,0.33106714,11,1,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,1.7914260136112305,4.351150847404493
3857255,WC2022,Spain,Álvaro Borja Morata Martín,0,0.10093839,22,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3.0056954961508238,3.0027669550091485
3857255,WC2022,Japan,Daichi Kamada,0,0.03356069,35,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,3.0191724970690603,2.831838259070738
3857255,WC2022,Spain,Daniel Olmo Carvajal,0,0.10385344,41,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2.936895409881101,3.2360299176042586
3857255,WC2022,Japan,Ritsu Doan,1,0.027777622,47,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,3.261843718099878,2.7251071415417285
3857255,WC2022,Japan,Ao Tanaka,1,0.87261814,50,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.8395369553773534,4.976149926586546
3857255,WC2022,Japan,Takuma Asano,0,0.13121767,69,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.0372542696832774,3.153977535121658
3857255,WC2022,Spain,Marco Asensio Willemsen,0,0.016301522,73,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.1541933271097298,2.708824440858914
3857255,WC2022,Spain,Daniel Olmo Carvajal,0,0.01649772,79,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.5634243722187886,2.6455222966697094
3857255,WC2022,Japan,Ko Itakura,0,0.0504811,82,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.8350481034953217,3.366387828650984
3857255,WC2022,Spain,Marco Asensio Willemsen,0,0.02842248,84,0,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,3.30195946959255,2.8041650697982137
3857255,WC2022,Spain,Jordi Alba Ramos,0,0.0241939,88,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.282414138476606,2.7979202714464777
3857255,WC2022,Spain,Marco Asensio Willemsen,0,0.007735879,88,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.5376603948168786,2.433436281357358
3857255,WC2022,Spain,Daniel Olmo Carvajal,0,0.12373556,89,0,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,2.772588722239781,2.9961675348459758
3857255,WC2022,Spain,Daniel Olmo Carvajal,0,0.008523117,95,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3.4625197699746053,2.595370333850982
3857272,WC2022,England,Harry Kane,0,0.10607713,9,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.5177318419898747,3.66161166524586
3857272,WC2022,England,John Stones,0,0.04222343,9,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.4757282158765603,3.7160302026747543
3857272,WC2022,England,Mason Mount,0,0.019677445,10,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.394531696463742,2.7237217523463637
3857272,WC2022,United States,Haji Wright,0,0.048006557,16,1,0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,2.604375614891607,3.5570688523888307
3857272,WC2022,United States,Weston McKennie,0,0.18268152,25,0,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,2.3526267399435703,3.8409787893671745
3857272,WC2022,United States,Yunus Dimoara Musah,0,0.016826272,28,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.4606746797002224,2.6396220239249804
3857272,WC2022,United States,Christian Pulisic,0,0.023374733,32,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.0771229943621576,2.7588611763023607
3857272,WC2022,United States,Sergino Dest,0,0.056137927,40,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.8321091464648696,3.084404930001778
3857272,WC2022,United States,Christian Pulisic,0,0.05394238,42,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.432261915300527,3.739060924849944
3857272,WC2022,England,Bukayo Saka,0,0.08680134,44,1,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2.179174318155173,3.934214694113474
3857272,WC2022,England,Mason Mount,0,0.0710417,45,0,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.096873308570615,3.058612553213401
3857272,WC2022,United States,Haji Wright,0,0.0422633,48,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.9372813144687626,3.025752643478862
3857272,WC2022,United States,Weston McKennie,0,0.032319076,48,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.2587499484995477,2.788823454332685
3857272,WC2022,United States,Christian Pulisic,0,0.025169194,57,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,3.3011710092288165,2.7249441315455925
3857272,WC2022,United States,Christian Pulisic,0,0.033566043,61,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3.2464988684584926,2.965135349742322
3857272,WC2022,England,Marcus Rashford,0,0.009332121,86,0,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,3.229248551912595,2.5342012035595847
3857272,WC2022,England,Harry Maguire,0,0.05556727,90,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2.4340348965022898,3.7426906995894913
